id_game,pemenang,strategi_pembuka
dwF3DJHO,black,Italian Game
Vf5fKWzI,black,French Defense
HRti5mKv,black,French Defense
2fEjSei6,black,French Defense
guanvMR5,black,Italian Game
oQklnWWp,black,Italian Game
5cgBygpI,white,Sicilian Defense
mCij4hBq,black,Sicilian Defense
fXhNOnOn,black,Sicilian Defense
DiCTkvZH,black,Sicilian Defense
FSkgvV2E,white,Sicilian Defense
Lq24M4KQ,white,Sicilian Defense
Yg006qwa,white,Sicilian Defense
r4LcBZA7,black,Sicilian Defense
SDDXGw21,white,Sicilian Defense
oqoT4DLS,white,Sicilian Defense
eSociDPG,white,Sicilian Defense
mpzYDfIK,white,Sicilian Defense
IRYkgI8N,white,Sicilian Defense
tLnhk43J,white,Sicilian Defense
AAw1TiNN,black,French Defense
0lDqWVlz,white,Sicilian Defense
9tU9MM6P,black,French Defense
XuyVUkDi,black,French Defense
l7top9ps,black,French Defense
00R4UOcU,black,French Defense
WYOts2ME,white,French Defense
osPCRdxJ,white,French Defense
7kK30TmL,black,French Defense
Xwpzq87m,white,French Defense
mEAvshF2,black,French Defense
ylLqmXwb,white,French Defense
nBfSissu,white,Italian Game
bnCnIJSz,white,French Defense
mkKSL3Ev,white,French Defense
Tlng5eqN,black,French Defense
wljkejE0,white,French Defense
bCUwPEJ7,black,French Defense
ezdEKpqG,white,Italian Game
vAOIY0jj,black,Sicilian Defense
dh2xQb3X,black,Italian Game
TKwuIzb6,black,Italian Game
s752sCLr,black,Italian Game
7rbdtPwO,white,Italian Game
TRpFAEWd,white,Sicilian Defense
Z1CTghfR,white,Italian Game
dZn9WLT5,white,French Defense
xwl41jna,white,Sicilian Defense
vfnLULoh,white,Sicilian Defense
ut6LIGPI,black,Italian Game
cqrATt9o,white,Sicilian Defense
deKfSOPy,white,French Defense
vQ1psjxd,black,Sicilian Defense
k1qV5HHz,white,Sicilian Defense
BoDJGVyk,white,Sicilian Defense
3eLsB99C,black,Sicilian Defense
M6zMVwqK,black,Sicilian Defense
yrQWTJVz,black,French Defense
0dm3RaQv,white,Sicilian Defense
BxxAvvER,black,Sicilian Defense
xMezmOBz,white,Sicilian Defense
WqMvA7iE,black,Sicilian Defense
NgZ8xxFe,black,Sicilian Defense
OmwDxZpJ,black,Sicilian Defense
JewxmuG9,black,Sicilian Defense
0gTDO6Av,black,Sicilian Defense
j5KY62yS,black,French Defense
h0YsGMhj,black,Italian Game
O037dETy,black,Sicilian Defense
mJ9VpdxV,white,Italian Game
pnU8dLUx,black,Sicilian Defense
WUyPeYW8,white,French Defense
xRY7h8aS,black,Sicilian Defense
xrZnbIGD,black,Sicilian Defense
hVSNfLer,black,Italian Game
rth667hB,white,Italian Game
hxMTrlzW,white,Italian Game
Uc64bIGE,black,Sicilian Defense
o1qwAoUy,black,French Defense
voV4ekhS,black,French Defense
1TpYTEKR,white,Sicilian Defense
AUzK1bj8,white,Italian Game
kTRSenmv,white,Italian Game
PEIWrbTQ,white,Sicilian Defense
8hlHAFPF,black,Italian Game
BwBDbyKq,white,Italian Game
L9UeFctE,white,French Defense
W4eyc9dH,black,Italian Game
T3gAyyeH,white,Sicilian Defense
UxvU6EN4,white,French Defense
ZXM2sX4y,white,Sicilian Defense
EQDn1BA7,black,Sicilian Defense
JHH8PcNq,white,Italian Game
8Ie5Oesp,white,Italian Game
GRAng26s,black,Sicilian Defense
TaaLCuw6,black,Italian Game
R2JFua6L,black,Italian Game
LcPvndOa,black,Italian Game
m793jf7F,white,Sicilian Defense
EL3LK94E,white,Italian Game
XGG3VNC9,white,Italian Game
q6FmC8Id,black,Sicilian Defense
2CvZyh4h,white,Italian Game
Psin3ost,white,Italian Game
IC0EFtA5,black,Italian Game
L8gPU593,white,Italian Game
5AYA7mBv,white,French Defense
pLR3kRgy,white,Sicilian Defense
e4UoYNOg,black,Sicilian Defense
J5DYrnEf,black,French Defense
C7ZN9Vt6,black,Sicilian Defense
nXAMBzZC,black,French Defense
PDmTWzdY,white,French Defense
l33LvAGO,black,French Defense
nrOeTNGE,black,French Defense
RQKVDRu3,white,Sicilian Defense
F9LhXEvk,black,French Defense
eTcONlGD,black,Italian Game
eZH6krXF,black,French Defense
cJRIpA0K,white,French Defense
68pMrUFp,black,Sicilian Defense
hz2R5AX6,white,French Defense
ZbjPJQvo,black,French Defense
rbcpm9pr,white,Sicilian Defense
kATFCmb6,black,Sicilian Defense
8BHaVwSf,white,French Defense
JHs2yQVf,white,Sicilian Defense
WOwzREnN,black,French Defense
UVCNEXse,white,French Defense
YeWcT5XP,black,French Defense
9LBbJAy5,black,French Defense
Z9FnkzxR,black,French Defense
rt1IFgnN,black,French Defense
xNeUwMhV,white,Sicilian Defense
e4kFuJQ9,white,Italian Game
AFBQ040C,black,Italian Game
SQz0aocr,white,Italian Game
ukTTpK9V,white,Italian Game
zijw7opz,black,Sicilian Defense
dMKJGAdC,white,Italian Game
o2qYkjN6,white,Italian Game
snYK1vb6,white,French Defense
qFF2fQKT,white,French Defense
3hcX07ip,black,French Defense
lHNSzBps,black,Sicilian Defense
yyxv1Rvw,black,Sicilian Defense
FfPQwkyj,white,Sicilian Defense
qn5XNlhr,black,French Defense
73yrL8pJ,white,Italian Game
c97bIIYV,black,Sicilian Defense
YcFsnSyR,white,Sicilian Defense
3zUeArOl,white,Sicilian Defense
Z4SG1Ob7,black,French Defense
DDTJ3Yeo,white,French Defense
tKZv5wGC,black,French Defense
c2WR287x,white,French Defense
J2GvS4LK,black,French Defense
TovD1oTY,black,Sicilian Defense
u0FzSAO8,black,Sicilian Defense
mquRdEhM,black,Sicilian Defense
AAiM3La2,black,Sicilian Defense
DrNPTV0R,black,Sicilian Defense
x3qqYZK7,white,Sicilian Defense
TTXLxBqr,black,Sicilian Defense
DuBCgvJa,black,Sicilian Defense
zbVWQB0i,black,Sicilian Defense
VG0al8lF,black,Sicilian Defense
PccY4zs2,black,Sicilian Defense
1mi2HfIm,black,Sicilian Defense
yqlKfOAp,black,Sicilian Defense
PSjD1Xhv,black,Sicilian Defense
eswCrJcC,black,Sicilian Defense
Twie5enB,black,Sicilian Defense
QgodfZ9N,black,Sicilian Defense
OLLL4UW9,black,Sicilian Defense
hjAt7pYG,white,French Defense
ZydVhIrf,white,Sicilian Defense
4RggB4Pd,white,Sicilian Defense
Jdcqh0ZM,black,Sicilian Defense
ZP5ZQVcC,black,Italian Game
mcIe47kW,black,Italian Game
AKDSQGBI,white,Sicilian Defense
3PMOVHCd,black,Sicilian Defense
Y0ubgfvj,white,Sicilian Defense
4hOpQkq4,white,Sicilian Defense
BXpDfkWi,black,Sicilian Defense
BqpWJ53F,black,Sicilian Defense
vM7Emdp3,white,Sicilian Defense
8z5O0GXW,white,Sicilian Defense
HFJ7z4tg,black,Sicilian Defense
6bL2hd0X,white,Sicilian Defense
UiMj8nXK,black,Sicilian Defense
pM3fIP4b,black,Sicilian Defense
Yekg9T0E,black,Sicilian Defense
trc6nw8p,black,Sicilian Defense
WB4cuSmD,white,Italian Game
JDSNvohS,white,Sicilian Defense
AusrgQtE,white,Italian Game
5cfVF8SL,white,French Defense
c9WUjuhv,white,Sicilian Defense
wZf7MIFt,black,French Defense
xegjALEz,white,Italian Game
wmytcciw,black,Sicilian Defense
P8PM7tjz,white,Sicilian Defense
4lFC7APk,black,Sicilian Defense
